loss,accuracy,val_loss,val_accuracy
3.246829032897949,0.0986153855919838,3.2382707595825195,0.11538461595773697
3.1440348625183105,0.23773077130317688,3.123932123184204,0.11057692021131516
2.8150739669799805,0.2404615432024002,2.988229513168335,0.13942307233810425
2.4964334964752197,0.29100000858306885,2.9975926876068115,0.15705128014087677
2.314762830734253,0.3349230885505676,3.0668485164642334,0.15544871985912323
2.2032008171081543,0.36342307925224304,3.155284881591797,0.14423076808452606
2.11932635307312,0.38692307472229004,3.2001850605010986,0.15705128014087677
2.0489532947540283,0.41196152567863464,3.2638790607452393,0.16506409645080566
1.9839837551116943,0.43149998784065247,3.3204307556152344,0.1746794879436493
1.9213932752609253,0.45350000262260437,3.3474507331848145,0.18589743971824646
1.8595874309539795,0.47503846883773804,3.371635675430298,0.19711539149284363
