accuracy,loss,val_accuracy,val_loss,learning_rate
0.035846155136823654,3.258484125137329,0.03846153989434242,3.258103609085083,0.0010000000474974513
0.035384614020586014,3.258359432220459,0.03846153989434242,3.258100748062134,0.0010000000474974513
0.03523077070713043,3.2583882808685303,0.03846153989434242,3.258101463317871,0.0010000000474974513
0.03634615242481232,3.258364200592041,0.03846153989434242,3.2581019401550293,0.0010000000474974513
0.035384614020586014,3.258387804031372,0.03846153989434242,3.2581000328063965,0.0010000000474974513
0.036538463085889816,3.258366823196411,0.03846153989434242,3.258100748062134,0.0010000000474974513
0.036153845489025116,3.258382797241211,0.03846153989434242,3.258101463317871,0.0010000000474974513
0.03453846275806427,3.2583773136138916,0.03846153989434242,3.2581024169921875,0.0010000000474974513
0.03550000116229057,3.258364677429199,0.03846153989434242,3.2581050395965576,0.0010000000474974513
0.03523077070713043,3.2583765983581543,0.03846153989434242,3.2581024169921875,0.0010000000474974513
0.03661538287997246,3.258368492126465,0.03846153989434242,3.2581028938293457,0.0010000000474974513
0.03846153989434242,3.2581331729888916,0.03846153989434242,3.2581021785736084,9.999999747378752e-05
0.03846153989434242,3.258132219314575,0.03846153989434242,3.2581019401550293,9.999999747378752e-05
